auteur,texte,commentaires,Date
ICESCO Français,"2e session du colloque de l'#ICESCO: Éclairages civilisationnelles dans la pensée d'Abu Hayyan Al-Tawhidi

Dr Youssf Lemrini, professeur à l'Université Hassan II de Casablanca, a présenté une communication intitulée : ""La question de l'amitié chez Abu Hayyan Al-Tawhidi, dans https://t.co/BFGjvwsBme",,Mon Oct 21 12:55:32 +0000 2024
ICESCO Français,"Dr. Mohamed Ait Hamou, professeur à l'Université Sidi Mohamed Ben Abdellah de Fès, a élaboré sur l'image d'Al-Tawhidi dans le projet intellectuel de Mohammed Arkoun, lors du colloque de l'#ICESCO: Éclairages civilisationnelles dans la pensée d'Abu Hayyan Al-Tawhidi https://t.co/uBWhE6qFmt",,Mon Oct 21 11:27:16 +0000 2024
ICI Windsor,Club jeunesse Richelieu à l'Université de Windsor https://t.co/aHvqc8zBFs,,Mon Oct 21 17:34:06 +0000 2024
Indian Ocean Container Lines (IOCL),"@naanoum974 @Jeremy_MTV @Jc51483760 @Shalondon11 Hé oui 10 ans , au Guillaume  Saint Paul , au Port ( mes enfanst sont nés là, j'ai travaillé a l'Université et j'ai au foot au Guillaume et j'ai comme ami Michel Séraphine ...Mais vous ne connaissez pas !  a part le zamal  rien d'autre ?",,Tue Oct 22 07:55:19 +0000 2024
Info Chrétienne,"Le 11 octobre dernier, des chercheurs de l'Académie nationale des sciences d'Arménie et de l'Université de Münster ont annoncé avoir découvert la plus ancienne église d’Arménie. 

[Lire la suite...]

https://t.co/TpB7ie8pDn",,Mon Oct 21 12:00:00 +0000 2024
InfoPlusCd,"Haut-Katanga : Concours d'admission 2024-2025, lancement réussi à l'Université de Lubumbashi | https://t.co/yVwCioFeOU https://t.co/kXHQopgBHh
@PKamukenj @malu_raissa",,Tue Oct 22 10:22:52 +0000 2024
Instago ed-travels and tours,"@AbrahamOkah2 8 schools in France 🇫🇷  that offer courses taught in English and are relatively cheap:

• Sciences Po Paris.
• Toulouse School of Management.
• ESCP Business School.
• Kedge Business School.
• Université Grenoble Alpes.
• Université Angers.
• Université Rennes.
Université",,Tue Oct 22 07:59:00 +0000 2024
InvEnt 226,"En parallèle, elle partage ses connaissances en tant qu'enseignante vacataire en Machine Learning (ML) pour le programme de Master en Data
Science et IA à l'Université Virtuelle du Burkina Faso.",,Wed Dec 13 15:26:37 +0000 2023
Irene Martin,Université Northwestern -Moderna: nouvelle bataille juridique autour de l’ARNm – Le Courrier des Stratèges https://t.co/hBBVnZ8VIX,,Tue Oct 22 09:36:51 +0000 2024
Isaac Mukendi T.,"#RDC #KINSHASA #LIMETE 17.10.2024 | J’ai eu l’immense honneur de participer à la cérémonie de remise des brevets aux jeunes finalistes de l’Université Catholique du Congo (UCC) tenue à Aqua Splash, marquant la fin d’un parcours académique riche et formateur. Cet événement https://t.co/EuSqXqT8EV",,Mon Oct 21 10:25:19 +0000 2024
Ismaël Coulibaly,"C'est qui lui ?
C'est bien monsieur Ismaël Coulibaly 
Un jeune homme intègre,très engagé et qui respecte sa parole donnée. Il est le secrétaire général du Club Scientifique des Etudiants de l'Université Virtuelle du Burkina Faso  et chargé d'administration de Business Club Manager  section Finance de Ouagadougou. 
C'est un cadet plein de sagesse que je ne manque jamais l'occasion de lui consulter avant toute prise de décision. 
La reconnaissance est plus qu'un prix.
Bon vent à toi et que Dieu guide tes pas.",['Commentaires non disponibles'],
JAMES MUKESHABA,"Je vous présente sa Majesté le Mwami NGWESHE Pierre  NDATABAYI WEZA III , il est Mwami ngweshe depuis 1943, il est le grand frère biologique  de la mère du feu mwami Kabare désire rugemanuizi II,
de 1960 à 1964 ,il est licencié en droit économique de l'Université de LILe dans le https://t.co/d4kRR51fP6",,Mon Oct 21 19:58:01 +0000 2024
JE SUIS UN GRAIN DE SÉNEVÉ,"Venu peut-être de l'Université sans aucune possibilité de se trouver un emploi, quand il voit les enfants des faux dignitaires de la République vivre mieux, il s'est dit qu'il devienne aussi faux pour tirer quelconque avantage. Mais quel avantage? Lui même a la réponse",,Tue Oct 22 06:33:36 +0000 2024
JJ Quairiat,"Journée mondiale des Femmes « Pour un monde digital inclusif : innovation et technologies pour l’égalité des sexes ». Au 🇧🇫, soutien 🇧🇪 à l’Université virtuelle #uvbf avec @Enabel_Belgium 

#EmbraceEquity
#IWD2023
#GenerationEquality https://t.co/MZ2t8eQmuU",,Wed Mar 08 07:12:02 +0000 2023
JJ Quairiat,"Journée mondiale des Femmes « Pour un monde digital inclusif : innovation et technologies pour l’égalité des sexes ». Au 🇧🇫, soutien 🇧🇪 à l’Université virtuelle #uvbf avec @Enabel_Belgium 

#EmbraceEquity
#IWD2023
#GenerationEquality https://t.co/MZ2t8eQmuU",,Wed Mar 08 07:12:02 +0000 2023
JJ Quairiat,"Journée mondiale des Femmes « Pour un monde digital inclusif : innovation et technologies pour l’égalité des sexes ». Au 🇧🇫, soutien 🇧🇪 à l’Université virtuelle #uvbf avec @Enabel_Belgium 

#EmbraceEquity
#IWD2023
#GenerationEquality https://t.co/MZ2t8eQmuU",,Wed Mar 08 07:12:02 +0000 2023
JJ Quairiat,"Journée mondiale des Femmes « Pour un monde digital inclusif : innovation et technologies pour l’égalité des sexes ». Au 🇧🇫, soutien 🇧🇪 à l’Université virtuelle #uvbf avec @Enabel_Belgium 

#EmbraceEquity
#IWD2023
#GenerationEquality https://t.co/MZ2t8eQmuU",,Wed Mar 08 07:12:02 +0000 2023
Jacques Guilbert 🌿,Les lauréates et lauréats de l'IUF manifestent leur oppostion au ministre Hetzel https://t.co/xEeiphtFPF #ESR #Recherche #Université @CgtFercSup @SNUEPFSU,,Tue Oct 22 08:26:41 +0000 2024
Jean-BaptisteMalenge,"Un pasteur protestant diplômé en théologie à l'Université De Mazenod de Kinshasa, catholique privée agréée. https://t.co/t41tdGjNou",,Mon Oct 21 19:30:50 +0000 2024
Jeff Mbogne,"Comment transformer le travail d'un mois en 3 minutes sans recruter davantage, même si vous avez un budget limité en 5 étapes simples

Tu te bats avec de la paperasse répétitive et ennuyante ?

Voici comment j'ai réglé ce problème pour une Université Internationale en 5 étapes ↓ https://t.co/lvMsJCWScE",,Mon Oct 21 12:41:38 +0000 2024
Jeff Mbogne,"En 5 étapes simples, J'ai permis à cette Université Internationale de passer de :

- Avant : 900 H de travail manuel pour produire 900 certificats étudiants,
- Après : Automatisation du processus en 3 minutes, transformant 900 h en efficacité

Et je peux faire pareil pour toi, DM",,Mon Oct 21 12:43:16 +0000 2024
Jeunesses NPA Montpellier,"Les @Jeunesses_NPA Montpellier organisent une réunion publique avec @olbesancenot pour parler de la place de la jeunesse dans le mouvement social.

📍 Mercredi 23 octobre, 18h30, Université Paul Valéry, amphi 5, 6, 7 (bât J)",,Mon Oct 21 10:21:48 +0000 2024
Jimmy Kalenga,"Heureux d’avoir démarré un de mes enseignements ce lundi 21 octobre 2024, à la Faculté Polytechnique de l’Université Protestante de Lubumbashi. Un réel plaisir de participer toujours à la formation de la jeunesse congolaise. https://t.co/8yeC8zgZu0",,Mon Oct 21 18:39:08 +0000 2024
Johan Licidé,"De forme octogonale, un édifice chrétien «somptueusement décoré» a été découvert par l’Université de Münster (Allemagne) et l’Académie nationale des sciences d’Arménie. Il pourrait s'agir d'une des plus anciennes églises du monde. - #InfoChrétienne https://t.co/3hZMl6pHRe",,Mon Oct 21 17:25:20 +0000 2024
John Reichenbach,"Université de #Carlow : un diplôme d'influenceur lancé en☘️#Irlande☘️ ""Beaucoup de gens pensent que c'est facile d'être un influenceur, qu'il suffit de poster des vidéos de 60 secondes sur #Tiktok. Mais c'est bien plus que ça !"" https://t.co/BdF6WGxiFc via @techandco",,Tue Oct 22 09:04:05 +0000 2024
Joshua Djodjo,"@ArthurBanga @sala5610 Et si vous avez du beurre sur les épinards, ne généralisez pas non plus.
On aurait tout lu, venant de ces lumières de l’Université ivoirienne ; tout, sauf des résultats de recherche innovante !",,Mon Oct 21 22:41:13 +0000 2024
Julien Grobert,1/2 Article intéressant https://t.co/d8iUXFrztn @jocjom mais comment expliquez-vous que des entreprises puissent payer des milliers d'euros de reste à charge à des écoles privées pour des formations qui existent à l'Université publique @IAEFRANCE,,Tue Oct 22 06:35:26 +0000 2024
Jérôme Sion,"🎓Intervention matinale à l’Université Toulouse Capitole sur « Les politiques culturelles au service des territoires » pour les étudiants prépa talents du  M2 droit des collectivités territoriales de @NathalieMader.
Des étudiants concernés &amp; réactifs pour de riches échanges… https://t.co/XEu2taSoIf",,Tue Oct 22 09:59:44 +0000 2024
KAAY JOB,"L'entrepreneuriat exige du courage, et Souleymane Agne, jeune entrepreneur sénégalais, en est un parfait exemple. Ancien étudiant en Droit à l’Université Cheick Anta Diop, il a fait le choix audacieux de quitter ses études pour se consacrer à l'agro-entrepreneuriat.👇🏾 https://t.co/GwB6rfuLgm",,Mon Oct 21 19:23:53 +0000 2024
KTY ROOTS,"@conspiration @RimaHas Émission enregistrée en 2008
Shlomo Sand est historien israélien et professeur à l'Université de Tel Aviv.

https://t.co/hIDDMyAmmN https://t.co/mkwuYX84mB",,Mon Oct 21 20:47:50 +0000 2024
KTY ROOTS,"@droiturejustice @gerard_larcher Émission enregistrée en 2008
Shlomo Sand est historien israélien et professeur à l'Université de Tel Aviv.

https://t.co/dKwY1eySm5",,Tue Oct 22 05:52:34 +0000 2024
Kaori Saeba,"D'après une étude de l'Université de Tokyo, le chat sait reconnaître la voix de son maître mais choisit plus souvent de l'ignorer.",,Mon Oct 21 17:09:35 +0000 2024
Koupam (Malick) Alassane,"Appel à Compétences pour le lancement du #Master #CyberSécurité du Sahel à l'Université Virtuelle du Burkina Faso. Les cours pourront se faire à distance, alors la diaspora et toutes les autres nationalités sont spécialement sollicitées.  cc @Hored8 https://t.co/ZOvCNAUUkt",,Mon Nov 25 14:40:36 +0000 2019
Kuna_FR,"L’Université du #Koweït discute avec #NASA de la coopération spatiale et scientifique 
https://t.co/MavkWUGxnH
#KUNA https://t.co/Mp3vrhtqwZ",,Mon Oct 21 12:55:30 +0000 2024
L'AJDOM,"📢 « Coutume et droit en Guyane française, dans l’outre-mer et en Amérique du Sud »
➡️ L'AJDOM a le plaisir de relayer l'annonce de ce colloque qui se tient aujourd'hui à l'Université de Guyane 🙌
#Guyane #Coutume #Outremer
https://t.co/uSqTBBpnnu",,Mon Oct 21 09:41:26 +0000 2024
LE RURAL Officiel,"Le Laboratoire d’Analyse et de Recherche sur les Dynamiques Économiques et Sociales (#LARDES) de la Faculté d’Agronomie de l’Université de Parakou a organisé une conférence dédiée à la restitution des résultats du projet PIERI 20617

L'intégralité ⤵️

https://t.co/aQOlGm9Hiy https://t.co/Ci7cha11IC",,Mon Oct 21 11:08:46 +0000 2024
LFI Tokyo,"🎓 VISITE À L'#UNIVERSITÉ DE #WASEDA

Les élèves de Tle et 1ère de la #SectionInternationaleJaponaise du #LFITokyo ont échangé avec les étudiants japonais autour de l'enseignement moral. 
Une journée enrichissante et culturelle.🌍📚

#UniversitéWaseda 🎓🇯🇵🇫🇷
@aefeinfo 
@FLTfapee https://t.co/Zysi5115a1",,Tue Oct 22 08:00:47 +0000 2024
La BF dans tous ses états - Stage CFBF Grand-Est,"Beau cadeau pour nos percussionnistes aujourd’hui à La BF dans tous ses états - Stage CFBF Grand-Est
Merci au partenaire du jour KIX BAGUETTES. 
KIX drumsticks
CFBF - Confédération Française des Batteries & Fanfares
Union Vosgienne Batteries Fanfares UVBF",,
La BF dans tous ses états - Stage CFBF Grand-Est,"Début des ateliers à La BF dans tous ses états - Stage CFBF Grand-Est
Présentation du programme et de l’équipe technique. 
Premier travaux techniques et instrumentaux. 
CFBF - Confédération Française des Batteries & Fanfares
Union Vosgienne Batteries Fanfares UVBF",,
La BF dans tous ses états - Stage CFBF Grand-Est,"Fin de répète festif avec des surprises qu’on vous réserve pour demain soir. Rdv demain à 20h lycée horticole de Roville-aux-Chênes aux Chênes (88). 
Venez découvrir le travail et le plaisir d’une semaine de stage. 
La BF dans tous ses états - Stage CFBF Grand-Est
CFBF - Confédération Française des Batteries & Fanfares
Union Vosgienne Batteries Fanfares UVBF",,
La RDC ne mérite pas ce qu'elle est aujourd'hui.,"@aysesila1975 @CoulibalyBojana Orléans - Tours et non Harvard. D'ailleurs l'université ne distribue pas l'intelligence, celle-ci est liée à la personne. D'où, avec cette allure vs serez étonné de voir un jour un étudiant de l'Université de Kinshasa détricoter vos thèses truffées de fanatisme et de militantisme",,Mon Oct 21 22:19:56 +0000 2024
La Tribune,"Des milliers de médecins formés au Québec pratiquent en Ontario: Plus de 2300 médecins pratiquant en sol ontarien ont été formés au Québec. Dans la majorité des cas, il s’agit de diplômés de l’Université McGill. Une situation qui «préoccupe grandement»… https://t.co/tXBWjVqGak",,Tue Oct 22 08:08:15 +0000 2024
La Voix de l'Est,"Des milliers de médecins formés au Québec pratiquent en Ontario: Plus de 2300 médecins pratiquant en sol ontarien ont été formés au Québec. Dans la majorité des cas, il s’agit de diplômés de l’Université McGill. Une situation qui «préoccupe grandement»… https://t.co/GTikomNEIY",,Tue Oct 22 08:08:15 +0000 2024
La plume,Université Virtuelle du Burkina Faso : Les Coordonnateurs du Projet de construction et d’équipement partiel installés https://t.co/87InyetQ0C,,Wed Aug 07 15:19:35 +0000 2024
LaSouris desArchives,"Université de Grenoble : trois vacataires pour un enseignant titulaire. 
Je ne sais si le grand public voit bien les conséquences. 
Les vacataires, ce sont des gens qui font minimum 40h/sem dans leur travail principal. Plus 2, ou 4, voire 5h/sem de cours à l'université.",,Tue Oct 22 09:15:14 +0000 2024
Laurence Harribey,"La semaine dernière, je suis intervenue à l'Université de Bordeaux dans le cadre d’une journée d’étude sur le sport &amp; la coopération internationale 🏉

Ce fut un plaisir d’aborder les perspectives à venir avec @HazouardMathieu, @CarlosAQuenan et Patrice Béhague https://t.co/QSmp19yAtc",,Mon Oct 21 14:56:40 +0000 2024
Laurent Mucchielli,"Rendez-vous jeudi soir pour une émission qui s'annonce passionnante. Je participerai à la discussion de la communication du Prof. Philippe Brouqui (PUPH, Aix-Marseille Université, IHU).",,Tue Oct 22 09:51:09 +0000 2024
Laurent Voyer,@PiluleRouge_CA @pmartin_UdeM Pierre Martin est des pires déchets de la société québécoise. Rappelez moi de ne jamais envoyer mes filles à l'Université de Montréal.,,Mon Oct 21 18:10:39 +0000 2024
Law Society of Ontario,"Présentée par le PPD de l’Université d’Ottawa, cette séance est l’occasion d’imaginer l’accès à la justice différement. Inscrivez-vous ici: https://t.co/xEX8i1IT1a https://t.co/W8mND7sEqZ",,Mon Oct 21 14:01:44 +0000 2024
Law Society of Ontario,"Présentée par le PPD de l’Université d’Ottawa, cette séance portera sur l’utilisation de la plaidoirie visuelle pour expliquer les enjeux et les défis juridiques des justiciables, pour un meilleur accès à la justice. Inscrivez-vous ici: https://t.co/bRJOPLVcCF https://t.co/xiCCwIUxLn",,Mon Oct 21 19:00:37 +0000 2024
Le Club des juristes,"Affaire Mohamed Al Fayed : quelles responsabilités pénales et civiles ?

Par Simon Taylor, Professeur à l’Université Paris Nanterre (@UParisNanterre) ⤵️

https://t.co/PwSo3ykUvs",,Mon Oct 21 09:44:19 +0000 2024
Le Club des juristes,"Affaire Nicolas Bedos : c’est « l’intentionnalité » qui compte ? 

Par Simon Husser, Maître de conférences à l’Université Sorbonne Paris Nord (@univ_spn) ⤵️

https://t.co/3lOCCEHCiG",,Mon Oct 21 09:20:58 +0000 2024
Le Club des juristes,"Dossier Doliprane (Opella) : les marges de manœuvre de l’Etat français

Par Sébastien Bernard, Professeur de droit public à l’Université Grenoble Alpes (@UGrenobleAlpes), Centre de Recherches Juridiques ⤵️

https://t.co/1pOufJERDY",,Mon Oct 21 09:14:27 +0000 2024
Le Club des juristes,"Rachat d’Ubisoft par le Chinois Tencent : que peut (vraiment) faire le gouvernement ?

Par Arnaud de Nanteuil, Professeur à l’Université Paris Est Créteil (@UPECactus) ⤵️

https://t.co/vRv81d9SDX",,Mon Oct 21 10:07:05 +0000 2024
Le Club des juristes,"Scrutin proportionnel pour les législatives : pourquoi et comment ?

Par Audrey de Montis, Maître de conférences à l’Université de Rennes (@RennesUniv) ⤵️

https://t.co/y2nehaYzpY",,Tue Oct 22 08:51:16 +0000 2024
Le Lobby 🍁,Diplômé de l'Université Jeff Fillion 🏴‍☠️ https://t.co/b6fZTVJRvu,,Tue Oct 22 01:00:45 +0000 2024
Le Matin Dimanche,"#Interview 🧐 Le dialectologue savoyard de l’Université de Neuchâtel revient sur son parcours et ce qui l’a conquis en #Suisse romande.

https://t.co/UWOJvcCf2f",,Mon Oct 21 12:01:18 +0000 2024
Le Nouvelliste,"Des milliers de médecins formés au Québec pratiquent en Ontario: Plus de 2300 médecins pratiquant en sol ontarien ont été formés au Québec. Dans la majorité des cas, il s’agit de diplômés de l’Université McGill. Une situation qui «préoccupe grandement»… https://t.co/2eYnRKSuTg",,Tue Oct 22 08:08:14 +0000 2024
Le Quotidien,"Des milliers de médecins formés au Québec pratiquent en Ontario: Plus de 2300 médecins pratiquant en sol ontarien ont été formés au Québec. Dans la majorité des cas, il s’agit de diplômés de l’Université McGill. Une situation qui «préoccupe grandement»… https://t.co/v9Ux2qOMS9",,Tue Oct 22 08:08:15 +0000 2024
Le Soleil,"Des milliers de médecins formés au Québec pratiquent en Ontario: Plus de 2300 médecins pratiquant en sol ontarien ont été formés au Québec. Dans la majorité des cas, il s’agit de diplômés de l’Université McGill. Une situation qui «préoccupe grandement»… https://t.co/ZMnSNZH7xG",,Tue Oct 22 08:08:15 +0000 2024
Le centriste pâle 🇪🇺🇺🇦,"@LegavreJerome Depuis quand ""l’université publique s’écroule"" ?  
Encore un dogmatique élément de langage crétin typique Lfi.
L'Université on lui envoie les millions d'élèves qui triomphent du bac à 95% malgré un niveau parfois accablant, et elle se débrouille plutôt bien avec ça.",,Mon Oct 21 09:10:47 +0000 2024
LeDroit,"Des milliers de médecins formés au Québec pratiquent en Ontario: Plus de 2300 médecins pratiquant en sol ontarien ont été formés au Québec. Dans la majorité des cas, il s’agit de diplômés de l’Université McGill. Une situation qui «préoccupe grandement»… https://t.co/ZIQK8pqsU1",,Tue Oct 22 08:13:35 +0000 2024
LeDroit,"Programmes de l’UQO: coup de barre souhaité en santé: Après l’informatique et la cybersécurité, l’élargissement de l’offre de programmes en santé sera indéniablement la clé des prochaines étapes du développement de l’Université du Québec en Outaouais… https://t.co/qmQsczoogP",,Tue Oct 22 08:13:35 +0000 2024
LeDroit,"Un doctorat conjoint en sciences infirmières dès 2025 à l’UQO: En partenariat avec trois autres établissements du réseau, l’Université du Québec en Outaouais (UQO) s’apprête à ajouter une corde à son arc alors que les besoins en santé explosent: un… https://t.co/W1jztDOaZ3",,Mon Oct 21 15:59:36 +0000 2024
Lefaso.net,"Enseignement supérieur : 4060 nouveaux étudiants inscrits à l'Université virtuelle du Burkina Faso pour l'année 2024-2025
Les étudiants de l'Université virtuelle du Burkina Faso (UVBF) effectuent officiellement leur rentrée académique ce mardi 15 octobre 2024 à l'espace numérique ouvert situé à Karpala, un quartier de Ouagadougou. Cette rentrée est l'occasion de donner aux étudiants, toutes les informations nécessaires pour faciliter la poursuite de leur cursus universitaire.
Cette année, l'Université virtuelle du Burkina reçoit 4060 nouveaux étudiants. 
En attendant le début effectif des cours, ils sont réunis à l'espace numérique ouvert afin d'être outillés sur la prise en main de la plateforme de formation, mais aussi recevoir d'autres informations utiles, telles que la subvention pour l'acquisition d'ordinateurs, l'accès à la connexion, etc.
Sur ces deux derniers points, le Président de l'Université virtuelle, Pr Jean-Marie Dipama a souligné que pour les étudiants de son université, les ordinateurs sont subventionnés à hauteur de 85% contre 60% pour les étudiants des autres universités publiques et chaque étudiant à droit à 10 gigas par mois pour la connexion, afin de pouvoir suivre les cours. 
Créée en 2019, l'Université virtuelle du Burkina Faso a reçu ses premiers étudiants en mai 2020. Avec au départ 150 étudiants, l'Université virtuelle se retrouve aujourd'hui, cinq promotions plus tard, avec plus de 11 000 étudiants. 
Elle offre des formations de niveau licence et master dans les sciences fondamentales (Mathématiques, Physique, Chimie et Sciences de la vie et de la terre) et dans les sciences transversales (Géomatique, Lettres modernes, Sciences juridiques et politiques et Sciences économiques et de gestion). 
Lefaso.net",['Commentaires non disponibles'],
Les Ateliers Vortex,"Retour en images sur la conversation de samedi dernier entre l'artiste Charles-Arthur Feuvrier et  Julie Mommeja, Maîtresse de Conférences en civilisation nord-américaine et en études médiatiques à l’Université de Lorraine
Écouter cet échange ici :
https://t.co/oTqKtWPcHf. https://t.co/gJmhz959FS",,Tue Oct 22 08:30:45 +0000 2024
Les Chemins Buissonniers,"Du 14 novembre au 05 décembre 2024, (re)découvrez l'exposition multisensorielle ""Essentielle"".

Une exposition autour de la nature à voir, à toucher, à sentir et à entendre.

Exposition gratuite
Espace d'exposition - Atrium
Université Paul-Valéry Montpellier 3 https://t.co/olpyhnQ4DB",,Tue Oct 22 08:04:17 +0000 2024
Lettres — UNIGE,"Colloque international
Peindre en France : trente ans de recherche sur le vitrail du XVIe siècle
Vendredi 15 et samedi 16 novembre 2024
Université de Genève, Battelle A RdC
https://t.co/TkpgQOJt4y https://t.co/3BbnsTPF4V",,Tue Oct 22 07:13:20 +0000 2024
LibanVision by JMD,"Ce Lundi, malgré la situation tendue, a eu lieu une reprise des cours en présentiel à l’USJ, Université Saint-Joseph de Beyrouth. 
Vue de la rue Huvelin. https://t.co/oAAAnBUbVR",,Mon Oct 21 10:36:14 +0000 2024
Ligne 13,"⚠️ Le trafic est perturbé de Saint-Denis–Université à Carrefour Pleyel, en raison d'un incident d'exploitation. #Ligne13 #RATP",,Mon Oct 21 11:17:05 +0000 2024
Ligne 13,"⚠️Des trains stationnent entre Garibaldi et La Fourche en direction de Saint-Denis – Université, en raison de l'actionnement d'un signal d'alarme à Garibaldi #Ligne13 #RATP",,Mon Oct 21 14:51:06 +0000 2024
Ligne 13,✅ Le trafic est rétabli de Saint-Denis–Université à Carrefour Pleyel (incident d'exploitation). #Ligne13 #RATP,,Mon Oct 21 11:23:18 +0000 2024
Ligne 13,✅Fin de stationnement entre Garibaldi et La Fourche en direction de Saint-Denis – Université #Lign13 #RATP,,Mon Oct 21 14:55:37 +0000 2024
Ligne L,"#Travaux | Semaine du 21 au 25/10 🚧

Le trafic est interrompu entre : 
- St-Cloud et St-Nom
- Nanterre Université et Maisons-Laffitte
- Premier train St-Nom &gt; Marly le Roi supprimé

Bus de remplacement mis en place 🚍

Zac🚀 https://t.co/779KtYz2ih",,Mon Oct 21 14:14:22 +0000 2024
Livia Jampy,"La sélection à l’Université broie l’avenir des étudiant·es. Chaque année des centaines d’étudiant·es se retrouvent sans affectation et perdent leurs bourses et logement.

Merci à @BelouassaAnais de parler de ce sujet si important qui est la sélection sociale à l’Université ! ✊",,Mon Oct 21 20:45:40 +0000 2024
Luca 🇫🇷🇪🇺,"D'accord avec ce point de vue, mais dans ce cas, l'Université devrait pour un semestre prendre en charge, les frais de déménagements/enménagements et les dépenses fixes (eau, électricité, internet, chauffage, loyers,...) des étudiants si cela devient obligatoire",,Tue Oct 22 05:14:55 +0000 2024
Lucie Vlmn,"Atelier chant!! 
Avec Lucie Vlmn Jean-Jacques Caplier
La BF dans tous ses états - Stage CFBF Grand-EstCFBF - Confédération Française des Batteries & FanfaresUnion Vosgienne Batteries Fanfares UVBF",,
Lucile BRUN,"""L'honneur du service public c'est l'extrème gauche"" dixit une prof de l'Université de Tours ! 🤬🤮💩",,Tue Oct 22 08:16:39 +0000 2024
Léman Bleu,"🏆Notre rédaction à nouveau distinguée! Dans son dernier classement qualité, l'Université de Zürich place Léman Bleu sur la première marche du podium. Les détails➡️ https://t.co/H7nKjGPubA",,Tue Oct 22 08:43:19 +0000 2024
MATIN LIBRE,"La deuxième édition de la Semaine l’Afrique des Solutions (SAS) s’est déroulée à l’Ecole Mohammedia d’Ingénieurs (EMI) relevant de l'Université Mohammed V de Rabat, du jeudi 17 au samedi 19 octobre 2024
https://t.co/JiuE4tXBro",,Tue Oct 22 04:26:01 +0000 2024
MTN Benin,"Félicitations aux 90 étudiants de la première cohorte de #TitaDigitalSkills à l’Université de Parakou ! 🎓 Après 3 mois de formation intensive, ils sont prêts à transformer le futur numérique du Bénin.💡 #DoingForTomorrowToday #DoingForGood #DoingForPeople #DigitalTransformation https://t.co/OrYmjon5CK",,Tue Oct 22 08:00:01 +0000 2024
Ma Ligne,⚠️ Perturbation Métro 13 : Le trafic est perturbé entre Carrefour Pleyel et Saint-Denis – Université en direction de Saint-Denis – Université et Châtillon-Montrouge en raison d'un incident nécessitant l’intervention du conducteur à Saint-Denis - Porte de Paris. @Ligne13_RATP,,Tue Oct 22 08:21:10 +0000 2024
Ma Ligne,⚠️ Perturbation Métro 13 : Le trafic est perturbé entre Saint-Denis – Université et Carrefour Pleyel en direction de Châtillon-Montrouge en raison d'un incident d'exploitation. @Ligne13_RATP #Metro #Metro13 #Ligne13 #RATP https://t.co/bXFZ8TkfqD,,Mon Oct 21 11:22:07 +0000 2024
Ma Ligne,⚠️ Perturbation Métro 13 : Un train stationne à Carrefour Pleyel en direction de Saint-Denis – Université en raison d'un incident nécessitant l’intervention du conducteur. @Ligne13_RATP #Metro #Metro13 #Ligne13 #RATP https://t.co/bXFZ8TkfqD,,Mon Oct 21 18:12:07 +0000 2024
Ma Ligne,⚠️ Perturbation Métro 13 : Un train stationne à Guy Môquet en direction de Saint-Denis – Université en raison d'un ajustement de l'intervalle entre les trains. @Ligne13_RATP #Metro #Metro13 #Ligne13 #RATP https://t.co/bXFZ8TkfqD,,Mon Oct 21 17:32:06 +0000 2024
Ma Ligne,⚠️ Perturbation RER A : Le stationnement est prolongé à Nanterre – Université en direction de Saint-Germain-en-Laye  en raison d'une gêne à la fermeture des portes d'un train  . @RER_A #RER #RERA #LigneA #SNCF https://t.co/CknzobPl5k,,Tue Oct 22 06:11:29 +0000 2024
Mag Haiti,"L’ex-diplomate français et directeur de communication de l’Université Quisqueya, Alain Sauval, est décédé ce dimanche 20 octobre 2024. 
https://t.co/TGjDVXSdtE",,Mon Oct 21 20:41:50 +0000 2024
Mamadou Mactar,Lu xew Université ?,,Tue Oct 22 09:29:25 +0000 2024
Martin Gauvreau,L’Université Tik Tok …,,Mon Oct 21 15:19:31 +0000 2024
"Master AMINJ, Création de Projets Numériques","💡 Qu'est-ce que le PEEL ?
C'est un Pôle Étudiant pour l'Innovation et l'Entrepreneuriat qui soutient les étudiants-entrepreneurs à l'Université de Lorraine.
👉 Avez-vous un projet en tête ? Partagez-le avec nous !
#Entrepreneuriat #PEEL #ProjetsÉtudiants #Mentorat https://t.co/lsuZ6ZCDYP",,Tue Oct 22 08:00:00 +0000 2024
Mathieu Andro,Open Access Weeks 2024 : Faire de la Science ouverte un principe par défaut ! – Université Clermont Auvergne – Novembre 2024 https://t.co/L3njnYxzbW,,Tue Oct 22 08:02:27 +0000 2024
Mathieu Ciowela,"En cours à l'Université @UB_Rumuri 🇧🇮,  Concours Inter-Universitaire ODD, organisé par @PNUDBurundi. Moment d'échanges avec les étudiants représentant 8 universités sur la problématique de développement. #ODD @ahunnaeziakonwa @UNDPAfrica @UN_Burundi. https://t.co/C6hiZZdajR https://t.co/WiAP0onLWG",,Tue Oct 22 09:19:12 +0000 2024
Mayotte Hebdo,"#Comores🇰🇲 : Azali Assoumani a la faculté de choisir le futur recteur qui dirigera l’#Université des Comores.

https://t.co/aLzv7KpJqC",,Tue Oct 22 03:00:01 +0000 2024
Mellanson,"@lucquebec @pmartin_UdeM Imagine se dire une Université sérieuse, de haut niveau et engager @pmartin_UdeM 🙄🤦🏻‍♂️ https://t.co/1RabkCTw3h",,Tue Oct 22 02:40:43 +0000 2024
